Solution,Produit,Segment,Theme,Question,Réponse,Source
Kadéos,Kadéos Zénith,Utilisateur,gerer-compte-myedenred,Comment modifier mon adresse email MyEdenred ?,"Connectez-vous sur MyEdenred, rendez-vous dans la rubrique ""Mon Compte"" via l'icône en haut à droite de votre écran.
Cliquez ensuite sur le bouton ""Modifier mes infos"", puis sur ""E-mail"", et suivez les instructions qui vous sont affichées pour procéder au changement.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/gerer-compte-myedenred?ref=ka51i000000g5JeAAI
Kadéos,Kadéos Zénith,Utilisateur,gerer-compte-myedenred,Comment supprimer mon compte MyEdenred ?,"Pour supprimer votre compte, rendez-vous dans l'onglet ""Compte"" (en haut à droite) de MyEdenred puis cliquez sur ""Supprimer mon compte"" en bas de la page.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/gerer-compte-myedenred?ref=ka51i000000g5IVAAY
Kadéos,Kadéos Zénith,Utilisateur,gerer-compte-myedenred,Comment activer mon compte MyEdenred ?,"Pour activer votre compte MyEdenred, un email de confirmation a été envoyé à l'adresse email que vous avez utilisée pour créer votre compte. Suivez les indications qui sont données dans cet email pour finaliser l'activation de votre compte.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/gerer-compte-myedenred?ref=ka51i000000PKmDAAW
Kadéos,Kadéos Zénith,Utilisateur,gerer-compte-myedenred,Comment récupérer mon mot de passe sur MyEdenred ?,"Connectez-vous sur MyEdenred, rendez-vous dans la rubrique ""Mon Compte"" via l'icône en haut à droite de l'écran.
Cliquez ensuite sur le bouton ""Mot de passe"" et suivez les instructions qui vous sont affichées pour configurer un nouveau mot de passe.
Voir le tuto vidéo",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/gerer-compte-myedenred?ref=ka51i000000PKluAAG
Kadéos,Kadéos Zénith,Utilisateur,gerer-compte-myedenred,Que faire si mon compte a été bloqué ?,Un email vous a été envoyé vous permettant de définir un nouveau mot de passe afin d'accéder à votre compte MyEdenred. Il vous suffit de suivre les instructions.,https://www.edenred.fr/faq/utilisateur/kadeos/zenith/gerer-compte-myedenred?ref=ka51i000000PKm8AAG
Kadéos,Kadéos Zénith,Utilisateur,gerer-compte-myedenred,Comment créer mon compte sur MyEdenred ?,"Page d'accueil :
Cliquez sur ""Créer mon compte"", vous serez redirigé vers le parcours de création de compte.

Première étape : Numéro de carte
Saisissez le numéro de la carte concernée (au verso, à 10 chiffres) puis validez.
Si vous détenez plusieurs cartes, vous avez la possibilité de les associer depuis votre espace personnel, une fois le compte créé.

Deuxième étape : Informations personnelles
Indiquez votre code d'activation et votre adresse e-mail.
Lisez et validez les conditions générales d'utilisation

Troisième étape : Mot de passe
Choisissez un mot de passe en suivant les recommandations affichées
Cliquez sur ""Terminer""

Dernière étape : Confirmation de l'email
Un email de confirmation vous est envoyé pour activer votre compte, cliquez sur le lien figurant dans le corps du mail.
Seule la validation à partir de cet email vous permet d'accéder à vote espace personnel.
Si vous n'avez pas reçu l'email, vous avez la possibilité de le faire renvoyer en cliquant sur ""Renvoyer l'email de confirmation"". Pensez à vérifier dans les Spams ou les courriers indésirables.
 
Voir le tuto vidéo",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/gerer-compte-myedenred?ref=ka51i000000PKm3AAG
Kadéos,Kadéos Zénith,Utilisateur,gerer-compte-myedenred,"Je n'arrive plus à me connecter à MyEdenred alors que je suis sûr(e) de mon mot de passe, que faire ?","Même si vous êtes sûr de votre mot de passe, demandez la réinitialisation de celui-ci. Un email vous sera alors envoyé à l'adresse email qui est associée à votre compte.

Attention ! Par mesure de sécurité, votre compte est automatiquement bloqué au bout d'un nombre de tentatives de connexions infructueuses. Pour débloquer votre compte, vous devez réinitialiser votre mot de passe.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/gerer-compte-myedenred?ref=ka51i000000PKltAAG
Kadéos,Kadéos Zénith,Utilisateur,gerer-compte-myedenred,Pourquoi ai-je reçu un email m'invitant à changer mon mot de passe MyEdenred ?,"Vous avez reçu un email de changement de votre mot de passe MyEdenred afin de sécuriser davantage votre compte MyEdenred. Pour réaliser cette modification, connectez-vous à MyEdenred et procéder au changement de mot de passe dans les paramètres de votre compte. 
Attention ! Pour des raisons de sécurité, vous devez saisir un mot de passe différent des précédents.
La Commission nationale de l'informatique et des libertés (CNIL) recommande un renouvellement périodique des mots de passe utilisés sur Internet, afin de vous garantir davantage de sécurité. Nous nous engageons auprès de la CNIL pour sensibiliser nos utilisateurs à ces bonnes pratiques et mieux protéger votre compte MyEdenred.
Sachez également que nous ne vous demanderons jamais vos identifiants de connexion MyEdenred (email ou mot de passe) par email. Ne communiquez donc jamais ces informations par email.",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/gerer-compte-myedenred?ref=ka51i000000PKdCAAW
Kadéos,Kadéos Zénith,Utilisateur,carte-mobile-vole-perdu,Que faire en cas de perte ou de vol de votre carte Kadéos Zénith/Culture/Universel ?,"Vous devez bloquer définitivement votre carte depuis MyEdenred, onglet ""Carte"" puis ""Bloquer ma carte"" ou par téléphone en contactant le 01 78 91 74 10 (prix d'un appel local) entre 8h30 et 20h. ",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/carte-mobile-vole-perdu?ref=ka51i000000PKzSAAW
Kadéos,Kadéos Zénith,Utilisateur,conditions-utilisation,La carte Kadéos Zénith/Culture est-elle rechargeable ?,"Non, les cartes Kadéos Zénith et Culture ne sont pas rechargeables. ",https://www.edenred.fr/faq/utilisateur/kadeos/zenith/conditions-utilisation?ref=ka51i000000PKmNAAW
